Time,Country Name,ISO,FDI inflows,GDP per capita
2021,Chad,TCD,705100759.3,685.690315
2021,Nigeria,NGA,3313210000,2065.77441
2020,Chad,TCD,557692503.3,643.7722157
2020,Nigeria,NGA,2385277666,2074.613747
2021,Lesotho,LSO,-12372192.46,1029.506189
2021,Central African Republic,CAF,5409980.25,461.137511
2020,Central African Republic,CAF,1737359.823,435.4692478
2020,Lesotho,LSO,28001666.92,917.3563813
2021,South Sudan,SSD,67500000,
2021,Somalia,SOM,601000000,576.5236782
2020,South Sudan,SSD,17500000,
2020,Somalia,SOM,534000000,556.578066
2021,Eswatini,SWZ,112865288.3,4068.573816
2021,Cote d'Ivoire,CIV,1392435143,2613.378893
2020,Mali,MLI,536851812.9,822.9061368
2021,Guinea,GIN,197610000,1189.175999
2021,Mali,MLI,639944165.4,881.5100887
2020,Cote d'Ivoire,CIV,712915894.5,2349.069882
2021,"Congo, Dem. Rep.",COD,1677673790,576.9747294
2021,Zimbabwe,ZWE,250000000,1773.920411
2021,Namibia,NAM,840286915.8,4919.188955
2021,Burkina Faso,BFA,-79957355.34,888.7810788
2021,Mozambique,MOZ,5295396105,504.0377871
2020,Guinea,GIN,176350000,1073.659339
2021,Guinea-Bissau,GNB,18529723.35,795.118605
2020,Eswatini,SWZ,38787632.67,3372.90461
2020,Burkina Faso,BFA,-98777856.01,823.5524109
2020,"Congo, Dem. Rep.",COD,1498084808,524.6666862
2020,Sierra Leone,SLE,172699178.4,493.4322406
2021,Benin,BEN,345985235.7,1360.911474
2020,Guinea-Bissau,GNB,20989721.61,710.258133
2021,Sierra Leone,SLE,212289192.8,504.6212876
2020,Benin,BEN,174019952.1,1240.733155
2021,Cameroon,CMR,963531503.5,1654.257037
2021,Equatorial Guinea,GNQ,459848321.3,7406.084975
2020,Equatorial Guinea,GNQ,410016918.3,6198.942524
2021,Liberia,LBR,535582905.5,675.6631858
2020,Cameroon,CMR,675186993.7,1539.130545
2020,Liberia,LBR,737967946.6,597.5296919
2020,Togo,TGO,-59206820,886.6995115
2020,Zimbabwe,ZWE,150360000,1372.696674
2021,Botswana,BWA,-319055857.6,7238.796098
2020,Mozambique,MOZ,3187942207,456.581929
2021,Zambia,ZMB,394217415.2,1134.713454
2021,Kenya,KEN,463348935.7,2069.661129
2020,Niger,NER,360653574.6,564.8416623
2020,Burundi,BDI,8722119.116,216.8274175
2021,Niger,NER,594829131.8,590.6294948
2021,Togo,TGO,-136221499.4,976.6661831
2021,Angola,AGO,-4355116553,1927.474078
2021,Burundi,BDI,9933539.955,221.1578034
2021,Afghanistan,AFG,20600976.1,355.7778264
2021,"Gambia, The",GMB,251822628.8,772.1514505
2020,Angola,AGO,-1866468113,1450.905112
2021,Djibouti,DJI,166750130.8,3062.551482
2021,South Africa,ZAF,40658789145,7073.612754
2020,Zambia,ZMB,245205491.4,956.831729
2020,Afghanistan,AFG,12970147.98,512.0550982
2020,"Gambia, The",GMB,189576190.8,704.0304628
2020,Kenya,KEN,426305189.4,1936.250755
2020,Djibouti,DJI,158230011,2921.738706
2021,Uganda,UGA,1648240263,883.4657281
2020,Namibia,NAM,-150172760.7,4252.04172
2020,Uganda,UGA,1191485424,846.8811992
2021,Malawi,MWI,129497084.5,633.6097332
2021,Haiti,HTI,51299000,1823.742224
2021,Comoros,COM,4024772.182,1577.470841
2020,Nauru,NRU,,10124.70062
2021,"Congo, Rep.",COG,-320209517.7,2540.473212
2021,Nauru,NRU,,11632.6925
2021,Bolivia,BOL,583576424.7,3345.023002
2020,Malawi,MWI,252179040.2,622.1845913
2021,"Yemen, Rep.",YEM,,543.6375376
2020,"Congo, Rep.",COG,-1983178867,2011.269479
2021,Ghana,GHA,2612789793,2422.085913
2020,Haiti,HTI,25000000,1283.141228
2020,Ghana,GHA,1875782953,2176.576218
2020,Comoros,COM,3875846.081,1519.58678
2021,Mauritania,MRT,1070252545,1998.394003
2020,Tuvalu,TUV,100000,4674.911403
2020,Bolivia,BOL,-1129487271,3068.812555
2021,Madagascar,MDG,357536665.3,503.3520812
2020,Mauritania,MRT,927916265.8,1836.292411
2021,Tuvalu,TUV,199431,5372.760239
2020,"Yemen, Rep.",YEM,,578.5120105
2021,Ethiopia,ETH,4259445795,925.0006976
2020,Marshall Islands,MHL,3045061.113,5545.600267
2020,Madagascar,MDG,358467141.4,462.4042288
2020,South Africa,ZAF,3153552569,5753.066494
2021,Sudan,SDN,522869616.9,749.7067871
2021,Marshall Islands,MHL,499428.4433,6130.437137
2021,Papua New Guinea,PNG,-10712491.65,2624.60411
2020,Ethiopia,ETH,2395799881,918.6525941
2020,Sudan,SDN,716939710.6,608.3325195
2020,Botswana,BWA,31792610.41,5875.070606
2021,Myanmar,MMR,2066606470,1231.694666
2021,Guyana,GUY,2236503735,9994.645704
2020,Papua New Guinea,PNG,112992633.5,2446.084687
2021,Gabon,GAB,1529221084,8635.797144
2021,Rwanda,RWA,211896128.9,821.1713948
2021,Pakistan,PAK,2147000000,1506.108293
2021,Tanzania,TZA,1190507399,1146.031982
2020,Pakistan,PAK,2057000000,1322.314785
2020,Tanzania,TZA,943765261.7,1104.164429
2020,Gabon,GAB,1716511506,6680.082665
2021,Eritrea,ERI,-31228190,
2020,Rwanda,RWA,152614121,773.7732609
2020,Myanmar,MMR,1907154041,1479.613689
2020,Azerbaijan,AZE,507151800,4229.910649
2021,Senegal,SEN,2588126617,1633.560119
2021,Fiji,FJI,409894560.5,4656.051341
2020,Eritrea,ERI,-30349590,
2021,India,IND,44727277563,2238.127142
2020,Kiribati,KIR,2624092.839,1403.993853
2021,Kiribati,KIR,1031375.962,1766.144289
2021,Indonesia,IDN,21213080330,4334.215983
2021,Sao Tome and Principe,STP,59000132.74,2350.452701
